rowLabel	nucleusstarttime	nucleusendtime	nucleusdur	medianpitch	meanpitch	startpitch	endpitch	lopitch	hipitch	dynamic	intrasyllab	intrasyllabup	intersyllab	trajectory	internucleusdur	syllabledur	pausedur	loudness	endtime_syll	promL2R1D_sylldur	promL2R1D_meanpitch	hesitation
6.671	6.670562500000001	6.7205625	0.049999999999998934	240.72617869513337	94.80827994173026	240	240	240	240.72617869513337	0	-1.266009136089468	0	-3.620237771481091	1.266009136089468	0.07000000000000206	0.1200000000000001	0.14500000000000046	0	6.7240625000000005	0	0	0
6.866	6.8655625	6.935562499999999	0.06999999999999851	225.84059795953257	93.6605846666717	225	225	225	225.84059795953257	0	-2.0589450336577517	0	-1.1050582563952136	2.0589450336577517	0.14500000000000046	0.27999999999999936	0.280000000000002	0	7.0040625	0	0	0
7.216	7.215562500000001	7.2705625	0.05499999999999883	244.62582498622825	95.10250016223975	244	244	244	244.62582498622825	0	-3.304717315769817	0	1.3832623503215618	3.304717315769817	0.280000000000002	0.3200000000000003	0.13000000000000078	0	7.3240625	0	0	0
7.401	7.4005625	7.475562499999999	0.0749999999999984	243.22046780269585	95.25094973835958	243	243	243	243.22046780269585	0	1.6411134461886323	1.6411134461886323	-0.09974489807300133	1.6411134461886323	0.13000000000000078	0.20000000000000018	0.15500000000000203	0	7.544062500000001	0	0	0
7.631	7.630562500000001	7.6605625	0.02999999999999936	216.37377462234465	92.93905124752591	216	216	216	216.37377462234465	0	-1.7896405460290854	0	-2.024867905743754	1.7896405460290854	0.15500000000000203	0.11999999999999922	0.010000000000000675	0	7.6640625	0	0	0
7.671	7.670562500000001	7.7305625	0.05999999999999872	196.34538533305232	91.33254816140784	196	196	196	196.34538533305232	0	-1.333175442975135	0	-1.6815834990562846	1.333175442975135	0.010000000000000675	0.07000000000000028	0.005000000000000782	0	7.7340625	0	0	0
7.736	7.7355625	7.865562499999998	0.12999999999999723	186.71901411066864	90.44047402296448	186	186	186	186.71901411066864	0	-1.014471141865543	0	-0.8702981085231072	1.014471141865543	0.005000000000000782	0.21000000000000085	0.18500000000000227	0	7.944062500000001	0	0	0
8.051	8.0505625	8.065562500000002	0.015000000000002345	90.56326618938482	78.0056748236782	90	90	90	90.56326618938482	0	-0.1073217784617963	0	-12.526451438755114	0.1073217784617963	0.18500000000000227	0.17999999999999972	0.8399999999999981	0	8.1240625	0	0	0
8.906	8.9055625	8.955562500000008	0.050000000000007816	203.1306404699397	92.78385535847838	203	203	203	203.1306404699397	0	-3.0076166101983026	0	13.984919741805648	3.0076166101983026	0.8399999999999981	0.10999999999999943	0.09499999999999176	0	8.968062499999999	0	0	0
9.051	9.0505625	9.085562500000005	0.03500000000000547	217.39215714814097	93.30122131231707	217	217	217	217.39215714814097	0	-1.189658800193101	0	1.1747042319093088	1.189658800193101	0.09499999999999176	0.120000000000001	0.019999999999994245	0	9.0880625	0	0	0
