rowLabel	nucleusstarttime	nucleusendtime	nucleusdur	medianpitch	meanpitch	startpitch	endpitch	lopitch	hipitch	dynamic	intrasyllab	intrasyllabup	intersyllab	trajectory	internucleusdur	syllabledur	pausedur	loudness	endtime_syll	promL2R1D_sylldur	promL2R1D_meanpitch	hesitation	dynamics	syllabic_interval	syllable_type	has_nucleus	pausebefore	pauseafter	nucleus_ctr	delivery	if	promauto	prommanu	eval	promF0rel	promDURrel	promMVT	promF0weight	promDURweight	promF0rel_th	promDURrel_th	promMVT_th	promPAUSE_th	promCUM	promGRAD	file	style	geo	npho	sylldurbynpho	bomu	eomu	mu_label	word	w_nbwords	w_lex	w_nbsyll	w_possylldeb	w_possyllfin	w_gra	w_pre	w_contexte	z_pre	z_post	pds	pause_label	pause_type	rgr_label	rgr_pos	seq_label	seq_pos	urc_label	urc_pos	syllabledurlog10
za	6.3305625	6.400562499999999	0.06999999999999851	248.31504365649292	95.45087181642592	248	248	248	248.31504365649292	0	0.3892558054411717	0.3892558054411717	2.5402827941605786	0.3892558054411717	0.11000000000000032	0.17999999999999972	0	0	6.4040625	0	0	0	0	31	2	1	0	0	0	?	?	0	0	1	0.07844304977128047	1.090909090909089	0	2	2	0	0	0	0	0.016575143582346304	5	prince	pri	ce	2	0.08999999999999986	0	0	?	achètent	0	?	0	0	0	?	?	?	0	0	0	?	0	?	0	?	0	?	0	2.2552725051033056
SEt	6.5205625000000005	6.600562499999999	0.0799999999999983	296.7153415502684	97.82965251206289	296	296	296	296.7153415502684	0	-2.7524191307963766	0	3.0828942702186715	2.7524191307963766	0.12000000000000188	0.20000000000000018	0	0	6.6040625	0	0	0	0	32	2	1	0	0	0	?	?	1	1	1	3.1429508045511483	1.3698630136986323	0	5	5	1	0	0	0	1.6706270352749626	8	prince	pri	ce	3	0.06666666666666672	0	0	?	achètent	0	?	0	0	0	?	?	?	0	0	0	?	0	?	0	?	0	?	0	2.3010299956639817
de	6.670562500000001	6.7205625	0.049999999999998934	240.72617869513337	94.80827994173026	240	240	240	240.72617869513337	0	-1.266009136089468	0	-3.620237771481091	1.266009136089468	0.07000000000000206	0.1200000000000001	0	0	6.7240625000000005	0	0	0	0	33	2	1	0	0	0	?	?	0	0	1	-0.8779892930487563	0.5263157894736852	0	5	5	0	0	0	0	-1.2576411991042682	2	prince	pri	ce	2	0.06000000000000005	0	0	?	des	0	?	0	0	0	?	?	?	0	0	0	?	0	?	0	?	0	?	0	2.079181246047625
Soz	6.8655625	6.935562499999999	0.06999999999999851	225.84059795953257	93.6605846666717	225	225	225	225.84059795953257	0	-2.0589450336577517	0	-1.1050582563952136	2.0589450336577517	0.14500000000000046	0.27999999999999936	0	0	7.0040625	0	0	0	0	34	2	1	0	0	0	?	?	0	0	1	-1.8696578773288763	1.2962962962962923	0	5	5	0	0	0	0	-0.4274137857378586	4	prince	pri	ce	3	0.09333333333333312	0	0	?	choses	0	?	0	0	0	?	?	?	0	0	0	?	0	?	0	?	0	?	0	2.447158031342218
tut	7.215562500000001	7.2705625	0.05499999999999883	244.62582498622825	95.10250016223975	244	244	244	244.62582498622825	0	-3.304717315769817	0	1.3832623503215618	3.304717315769817	0.280000000000002	0.3200000000000003	0	0	7.3240625	0	0	0	0	35	2	1	0	0.020000000000000462	0	?	?	1	1	1	1.0593504038818793	2.222222222222225	0	3	5	0	1	0	0	2.2000206892953216	9	prince	pri	ce	3	0.10666666666666676	0	0	?	toutes	0	?	0	0	0	?	?	?	0	0	0	?	0	?	0	?	0	?	0	2.5051499783199063
_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.020000000000000462	0	0	7.344062500000001	0	0	0	--undefined--	36	0	0	0	0	0	?	?	_	_	_	0	0	0	?	?	0	0	0	0	?	?	prince	pri	ce	1	0.020000000000000462	0	0	?	_	0	?	0	0	0	?	?	?	0	0	0	?	1	?	0	?	0	?	0	1.3010299956639912
fEt	7.4005625	7.475562499999999	0.0749999999999984	243.22046780269585	95.25094973835958	243	243	243	243.22046780269585	0	1.6411134461886323	1.6411134461886323	-0.09974489807300133	1.6411134461886323	0.13000000000000078	0.20000000000000018	0	0	7.544062500000001	0	0	0	0	37	2	1	0.020000000000000462	0	0	?	?	0	0	1	1.5907488525957234	1.6666666666666692	0	3	5	0	0	0	0	1.5282253866628888	8	prince	pri	ce	3	0.06666666666666672	0	0	?	faites	0	?	0	0	0	?	?	?	0	0	0	?	0	?	0	?	0	?	0	2.3010299956639817
Se	7.630562500000001	7.6605625	0.02999999999999936	216.37377462234465	92.93905124752591	216	216	216	216.37377462234465	0	-1.7896405460290854	0	-2.024867905743754	1.7896405460290854	0.15500000000000203	0.11999999999999922	0	0	7.6640625	0	0	0	0	38	2	1	0	0	0	?	?	0	0	1	-0.3526977023578013	1.0714285714285618	0	4	5	0	0	0	0	-0.18475768038845197	5	prince	pri	ce	2	0.05999999999999961	0	0	?	chez	0	?	0	0	0	?	?	?	0	0	0	?	0	?	0	?	0	?	0	2.079181246047622
le	7.670562500000001	7.7305625	0.05999999999999872	196.34538533305232	91.33254816140784	196	196	196	196.34538533305232	0	-1.333175442975135	0	-1.6815834990562846	1.333175442975135	0.010000000000000675	0.07000000000000028	0	0	7.7340625	0	0	0	0	39	2	1	0	0	0	?	?	0	0	1	-1.0694518944602294	0.406976744186048	0	5	5	0	0	0	0	-1.5227451726703327	2	prince	pri	ce	2	0.03500000000000014	0	0	?	les	0	?	0	0	0	?	?	?	0	0	0	?	0	?	0	?	0	?	0	1.8450980400142587
maR	7.7355625	7.865562499999998	0.12999999999999723	186.71901411066864	90.44047402296448	186	186	186	186.71901411066864	0	-1.014471141865543	0	-0.8702981085231072	1.014471141865543	0.005000000000000782	0.21000000000000085	0	0	7.944062500000001	0	0	0	0	40	2	1	0	0	0	?	?	1	1	1	4.117374579424876	1.6935483870967831	0	5	5	1	0	0	0	2.569561079360395	9	prince	pri	ce	3	0.07000000000000028	0	0	?	marchands	0	?	0	0	0	?	?	?	0	0	0	?	0	?	0	?	0	?	0	2.322219294733921
